N,build_ms,view_sort_ms,insert_rebuild_ms,space_units
1000,0.342,0.036,0.236,7525
2000,0.682,0.077,0.514,15053
4000,1.357,0.15,0.951,30109
6000,2.295,0.204,1.525,58221
8000,2.473,0.286,1.743,60221
10000,3.779,0.303,2.856,114445
