N,build_ms,view_sort_ms,insert_rebuild_ms,space_units
1000,1.067,0.05,0.451,7781
2000,1.461,0.12,1.014,15565
4000,2.605,0.275,2.391,31133
6000,4.723,0.394,2.894,60269
8000,3.847,1.317,2.592,62269
10000,3.525,0.816,2.648,64269
